mls,feed_status,ticket,dlm,state,brokerage_name,broker_name,agreement_type,feed_access_level,display_url,rules_link,logo_link,disclaimer,dlm_email,company_name,last_updated,new_date,ready_for_compliance,pending_cws,pending_broker,pending_mls,pending_compliance_mod,approved_provisioning,approved_complete
Northern Neck Association of REALTORS,New,ticketlink.com,A,VA,TESTBROKERAGE,TESTBROKER,Automatic,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,7/31/2024 9:55am,7/31/2024,,,,,,10/10/2024,10/10/2024
Northern Neck Association of REALTORS,Approved - Complete,ticketlink.com,A,VA,TESTBROKERAGE,TESTBROKER,Automatic,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:15am,7/29/2024,10/23/2024,,,10/23/2024,,10/10/2024,10/16/2024
NorthstarMLS,Approved - Complete,ticketlink.com,B,MN,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 10:41am,7/29/2024,9/13/2024,,9/13/2024,,,,
NorthstarMLS,Approved - Complete,ticketlink.com,B,MN,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/28/2024 5:16pm,7/31/2024,9/13/2024,,9/13/2024,,,,
Northwest Arkansas Board of REALTORS,Approved - Complete,ticketlink.com,C,AR,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/10/2024 4:40pm,7/30/2024,9/26/2024,,10/9/2024,,,10/30/2024,11/6/2024
Northwest Arkansas Board of REALTORS,Approved - Complete,ticketlink.com,C,AR,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 10:52am,7/31/2024,9/26/2024,,10/9/2024,,,11/4/2024,11/11/2024
NorthWest Illinois Alliance of REALTORS,Pending - MLS,ticketlink.com,A,IL,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/13/2024 11:17am,7/29/2024,9/26/2024,12/6/2024,10/7/2024,12/13/2024,,10/3/2024,10/9/2024
NorthWest Illinois Alliance of REALTORS,Pending - MLS,ticketlink.com,A,IL,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/7/2024 3:48pm,7/31/2024,9/26/2024,,10/7/2024,10/7/2024,,10/8/2024,10/9/2024
Northwest Indiana Association of REALTORS,Approved - Complete,ticketlink.com,A,IN,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:17am,8/8/2024,10/21/2024,,10/22/2024,,,,
Northwest Indiana Association of REALTORS,Approved - Complete,ticketlink.com,A,IN,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/11/2024 6:30pm,8/8/2024,10/21/2024,,10/22/2024,,,,
Northwest Iowa Regional Board of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 10:34am,7/29/2024,9/26/2024,,10/2/2024,10/2/2024,,,
Northwest Iowa Regional Board of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 1:30pm,7/31/2024,9/26/2024,,10/8/2024,10/2/2024,,,
Nova Scotia Association of REALTORS,Approved - Complete,ticketlink.com,B,NS,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/27/2024 12:02pm,,9/24/2024,,10/9/2024,,,,8/27/2024
Nova Scotia Association of REALTORS,Approved - Complete,ticketlink.com,B,NS,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/20/2024 4:03pm,7/31/2024,9/26/2024,,,9/30/2024,,11/20/2024,11/20/2024
Odessa Board of REALTORS,Approved - Provisioning,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Automatic,Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/14/2024 2:52pm,7/31/2024,9/26/2024,,,9/30/2024,,10/14/2024,
Odessa Board of REALTORS,Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Automatic,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 10:35am,7/29/2024,,,,,,10/14/2024,10/16/2024
OneKey MLS,Approved - Complete,ticketlink.com,A,NY,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/15/2024 10:32am,,8/27/2024,,8/29/2024,,,,8/15/2024
OneKey MLS,Approved - Complete,ticketlink.com,A,NY,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/17/2024 1:44pm,7/31/2024,,,,,,,9/17/2024
Otero County Association of REALTORS,Cancelled,ticketlink.com,D,NM,TESTBROKERAGE,TESTBROKER,,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/26/2024 3:17pm,7/29/2024,,,,,,,
Otero County Association of REALTORS,Cancelled,ticketlink.com,D,NM,TESTBROKERAGE,TESTBROKER,,Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/26/2024 3:17pm,7/31/2024,,,,,,,
Otsego Delaware Board of REALTORS,Cancelled,ticketlink.com,A,NY,TESTBROKERAGE,TESTBROKER,,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/17/2024 4:22pm,7/29/2024,,,,,,,
Otsego Delaware Board of REALTORS,Cancelled,ticketlink.com,A,NY,TESTBROKERAGE,TESTBROKER,,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/17/2024 4:22pm,7/31/2024,,8/29/2024,9/13/2024,11/12/2024,,,
Ottawa Real Estate Board,Approved - Complete,ticketlink.com,B,ON,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/14/2024 10:27am,,,,,11/12/2024,,11/13/2024,11/14/2024
Ottawa Real Estate Board,Approved - Complete,ticketlink.com,B,ON,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),VOW,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/15/2024 12:21pm,7/31/2024,9/26/2024,,10/2/2024,,,11/13/2024,11/15/2024
Pacific Regional MLS,Approved - Complete,ticketlink.com,B,WA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/14/2024 10:30am,7/30/2024,9/26/2024,,10/2/2024,10/21/2024,,11/12/2024,11/14/2024
Pacific Regional MLS,Approved - Complete,ticketlink.com,B,WA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/14/2024 10:33am,7/31/2024,,,,,,11/12/2024,11/14/2024
Palmetto Multiple Listing Service,Cancelled,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,CWS Request,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 10:31am,7/30/2024,,,,,,,
Palmetto Multiple Listing Service,Cancelled,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,CWS Request,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 10:31am,7/31/2024,11/6/2024,11/6/2024,,11/12/2024,,,
Pee Dee REALTOR Association,Pending - MLS,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,Broker-Initiated (PAM),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 11:02am,7/31/2024,11/6/2024,11/6/2024,,,,,
Pee Dee REALTOR Association,Approved - Complete,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,Broker-Initiated (PAM),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/14/2024 10:00am,7/30/2024,,,,,,11/12/2024,11/14/2024
Pensacola Association of REALTORS,Cancelled,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/21/2024 12:09pm,7/31/2024,,,8/14/2024,,,8/30/2024,
Pensacola Association of REALTORS,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/16/2024 12:15pm,,10/21/2024,,10/21/2024,,,9/10/2024,9/16/2024
Pierre Area Multiple Listing Service,Approved - Provisioning,ticketlink.com,B,SD,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,,10/23/2024 11:00am,,10/21/2024,,10/21/2024,,,10/23/2024,
Pierre Area Multiple Listing Service,Approved - Complete,ticketlink.com,B,SD,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/24/2024 10:30am,,9/11/2024,,9/16/2024,,,10/23/2024,10/24/2024
Pikes Peak REALTOR Services,Approved - Complete,ticketlink.com,D,CO,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 1:48pm,7/30/2024,,,,,,9/16/2024,9/19/2024
Pikes Peak REALTOR Services,Approved - Complete,ticketlink.com,D,CO,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 2:13pm,7/31/2024,9/11/2024,,,,,9/17/2024,9/19/2024
PrimeMLS,Pending - MLS,ticketlink.com,A,NH,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/18/2024 4:18pm,7/31/2024,9/5/2024,,,9/18/2024,,,
PrimeMLS,Approved - Complete,ticketlink.com,A,NH,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/20/2024 1:15pm,,,,,,,,8/20/2024
Pueblo Association of REALTORS,Approved - Complete,ticketlink.com,D,CO,TESTBROKERAGE,TESTBROKER,CWS Request,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/13/2024 8:21am,7/30/2024,9/11/2024,,,9/11/2024,,9/11/2024,9/13/2024
Pueblo Association of REALTORS,Approved - Complete,ticketlink.com,D,CO,TESTBROKERAGE,TESTBROKER,CWS Request,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/17/2024 1:22pm,7/31/2024,9/11/2024,,,9/11/2024,,9/13/2024,9/17/2024
Real Estate Board of New York (REBNY),New,ticketlink.com,A,NY,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/9/2024 3:55pm,8/9/2024,,,,,,,
Real Estate Board of New York (REBNY),Pending - Broker,ticketlink.com,A,NY,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/13/2024 2:25pm,8/9/2024,11/13/2024,,11/13/2024,,,,
Real Estate Information Network (REIN),Pending - CWS,ticketlink.com,A,VA,TESTBROKERAGE,TESTBROKER,Automatic,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/25/2024 5:17pm,7/31/2024,9/11/2024,9/25/2024,,,,,
Real Estate Information Network (REIN),Pending - MLS,ticketlink.com,A,VA,TESTBROKERAGE,TESTBROKER,Automatic,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/10/2024 12:09pm,7/29/2024,9/11/2024,9/25/2024,10/9/2024,12/10/2024,,,
Real Estate Information Services (REALTOR Association of Southern Kentucky),Pending - Broker,ticketlink.com,A,KY,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/25/2024 6:29pm,7/31/2024,9/11/2024,,9/25/2024,,,,
Real Estate Information Services (REALTOR Association of Southern Kentucky),Pending - MLS,ticketlink.com,A,KY,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/6/2024 9:50am,7/30/2024,9/11/2024,,9/25/2024,12/6/2024,,,
Realcomp,Pending - Broker,ticketlink.com,A,MI,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 1:48pm,7/31/2024,9/11/2024,,10/16/2024,,,,
Realcomp,Approved - Complete,ticketlink.com,A,MI,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/14/2024 10:00am,7/29/2024,9/11/2024,,10/16/2024,,,11/13/2024,11/14/2024
realMLS (Northeast Florida Multiple Listing Service),Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/5/2024 9:40am,,,,8/22/2024,,,8/30/2024,9/5/2024
realMLS (Northeast Florida Multiple Listing Service),Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/23/2024 11:03am,,,,8/22/2024,,,8/30/2024,9/23/2024
REALTOR Association of Greater Fort Lauderdale,Cancelled,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/2/2024 11:05am,7/30/2024,9/25/2024,,11/5/2024,,,,
REALTOR Association of Greater Fort Lauderdale,Cancelled,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/2/2024 11:06am,7/31/2024,,,,,,,
REALTOR Association of Southern Minnesota,Approved - Complete,ticketlink.com,A,MN,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 11:27am,7/29/2024,9/26/2024,,10/7/2024,10/7/2024,,10/7/2024,10/9/2024
REALTOR Association of Southern Minnesota,Approved - Complete,ticketlink.com,A,MN,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 11:27am,7/31/2024,9/26/2024,,10/7/2024,10/7/2024,,10/7/2024,10/9/2024
REALTOR Association of the Sioux Empire,Approved - Complete,ticketlink.com,B,SD,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/5/2024 5:36pm,7/29/2024,9/26/2024,,10/1/2024,10/15/2024,,10/25/2024,11/5/2024
REALTOR Association of the Sioux Empire,Approved - Complete,ticketlink.com,B,SD,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 10:05am,7/31/2024,9/26/2024,,10/1/2024,10/15/2024,,10/25/2024,11/12/2024
REALTORS Association of Citrus County,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/30/2024 9:26am,,,,8/23/2024,,,8/29/2024,8/30/2024
REALTORS Association of Citrus County,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/23/2024 11:00am,7/31/2024,9/5/2024,,9/6/2024,,,9/16/2024,9/23/2024
REALTORS Association of Indian River County,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:50am,7/29/2024,10/21/2024,,10/23/2024,,,10/28/2024,11/6/2024
REALTORS Association of Indian River County,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/20/2024 9:35am,7/31/2024,10/21/2024,,10/23/2024,,,11/6/2024,11/20/2024
REALTORS Association of Northeast Wisconsin,Approved - Complete,ticketlink.com,A,WI,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 2:17pm,7/30/2024,9/11/2024,,9/11/2024,,,9/13/2024,9/19/2024
REALTORS Association of Northeast Wisconsin,Approved - Complete,ticketlink.com,A,WI,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 1:40pm,7/31/2024,9/11/2024,,9/11/2024,9/11/2024,,9/13/2024,9/19/2024
REALTORS Association of Northwestern Wisconsin,Pending - MLS,ticketlink.com,A,WI,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/21/2024 11:05am,7/31/2024,9/26/2024,,9/26/2024,10/21/2024,,,
REALTORS Association of Northwestern Wisconsin,Approved - Complete,ticketlink.com,A,WI,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 10:45am,7/30/2024,9/26/2024,,9/26/2024,,,9/26/2024,10/2/2024
Realtracs,Pending - Broker,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/6/2024 4:06pm,7/31/2024,9/5/2024,,9/6/2024,,,,
Realtracs,Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/28/2024 9:34am,,,,,,,8/26/2024,8/28/2024
REcolorado,Approved - Complete,ticketlink.com,D,CO,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 1:50pm,7/29/2024,9/11/2024,,9/12/2024,,,9/13/2024,9/19/2024
REcolorado,Approved - Complete,ticketlink.com,D,CO,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/17/2024 1:23pm,7/31/2024,9/11/2024,,,,,9/12/2024,9/17/2024
Reelfoot Regional Association of REALTORS,Approved - Provisioning,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/12/2024 1:13pm,7/31/2024,10/21/2024,,10/28/2024,,,12/12/2024,
Reelfoot Regional Association of REALTORS,Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:59am,7/29/2024,10/21/2024,,10/28/2024,,,11/1/2024,11/6/2024
Regional Multiple Listing Service (RMLS),Approved - Complete,ticketlink.com,B,OR,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/15/2024 11:21am,7/30/2024,11/6/2024,,11/6/2024,11/13/2024,,11/13/2024,11/15/2024
Regional Multiple Listing Service (RMLS),Approved - Complete,ticketlink.com,B,OR,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/15/2024 12:23pm,7/31/2024,11/6/2024,,11/6/2024,11/13/2024,,11/13/2024,11/15/2024
REsides (Hilton Head),Approved - Complete,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:47am,7/30/2024,10/21/2024,,,,,10/23/2024,11/6/2024
REsides (Hilton Head),Approved - Complete,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/20/2024 9:34am,7/31/2024,10/21/2024,,,,,10/23/2024,11/20/2024
River Counties Association of REALTORS,Pending - CWS,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/6/2024 9:42am,7/29/2024,10/21/2024,12/6/2024,10/23/2024,,,,
River Counties Association of REALTORS,Pending - Broker,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/23/2024 2:28pm,7/31/2024,10/21/2024,,10/23/2024,,,,
RMLS Alliance,Approved - Complete,ticketlink.com,A,IL,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/28/2024 9:34am,,,,,,,8/20/2024,8/28/2024
RMLS Alliance,Approved - Complete,ticketlink.com,A,IL,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 9:45am,7/31/2024,9/5/2024,,9/9/2024,,,9/26/2024,10/2/2024
Roanoke Valley Lake Gaston Board of REALTORS,Approved - Provisioning,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,CWS Request,Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/28/2024 12:12pm,7/31/2024,10/23/2024,,,10/28/2024,,10/28/2024,
Roanoke Valley Lake Gaston Board of REALTORS,Approved - Complete,ticketlink.com,C,NC,TESTBROKERAGE,TESTBROKER,CWS Request,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/13/2024 10:36am,7/29/2024,10/28/2024,,,10/28/2024,,10/28/2024,11/13/2024
Royal Gorge Association of REALTORS,Approved - Complete,ticketlink.com,D,CO,TESTBROKERAGE,TESTBROKER,Automatic,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/24/2024 9:20am,7/29/2024,10/17/2024,,,10/18/2024,,10/18/2024,10/24/2024
Royal Gorge Association of REALTORS,Approved - Complete,ticketlink.com,D,CO,TESTBROKERAGE,TESTBROKER,Automatic,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/30/2024 10:39am,7/31/2024,10/17/2024,,,10/18/2024,,10/18/2024,10/30/2024
